id,dev_eui,threshold_type_id,thresholdType,alertType,datecreated_utc,datecreated,Time,latitude,longitude,LPState,node,poleId,resolved,subpanel_id,resolved_date,user_id,jsonData,template_name,tln,subpanel_name,local_timezone,cableKit,duration,alertvalue,threshold_value,transformer_alimentador_835,user_name,X1 Highest Value,X2 Highest Value,X3 Highest Value,X1 Duration,X2 Duration,X3 Duration,x1_averagePeakValue,x2_averagePeakValue,x3_averagePeakValue
10111.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 04:16:09 PM,02/01/2025 10:16:09 AM,02/01/2025 10:16:09 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":1,""alertDuration"":256,""deviceTimestamp"":1738426566,""receivedAtTimestamp"":1738426565242,""value"":125.9,""customerId"":""646703"",""serverTimestamp"":1738426565335},{""phase"":2,""alertDuration"":256,""deviceTimestamp"":1738426566,""receivedAtTimestamp"":1738426566355,""value"":126.1,""customerId"":""646703"",""serverTimestamp"":1738426566356}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":1738426566,""serverTimestamp"":1738426565335}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,125.9,,126.1,0.015,,0.015,,,
9800.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 06:21:05 AM,02/01/2025 12:21:05 AM,02/01/2025 12:21:05 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":2,""alertDuration"":256,""deviceTimestamp"":1738390861,""receivedAtTimestamp"":1738390861137,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390861139},{""phase"":2,""alertDuration"":256,""deviceTimestamp"":1738390862,""receivedAtTimestamp"":1738390862130,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390862132}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":1738390861,""serverTimestamp"":1738390861139}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,127.1,,,0.015,,,
9805.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 06:21:09 AM,02/01/2025 12:21:09 AM,02/01/2025 12:21:09 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":2,""alertDuration"":33536,""deviceTimestamp"":1738390866,""receivedAtTimestamp"":1738390866069,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390866070},{""phase"":2,""alertDuration"":256,""deviceTimestamp"":1738390868,""receivedAtTimestamp"":1738390867671,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390867750},{""phase"":2,""alertDuration"":256,""deviceTimestamp"":1738390868,""receivedAtTimestamp"":1738390868271,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390868273}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":1738390866,""serverTimestamp"":1738390866070}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,127.1,,,0.015,,,
9811.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 06:21:12 AM,02/01/2025 12:21:12 AM,02/01/2025 12:21:12 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":2,""alertDuration"":256,""deviceTimestamp"":1738390869,""receivedAtTimestamp"":1738390869869,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390869871},{""phase"":2,""alertDuration"":8576,""deviceTimestamp"":1738390870,""receivedAtTimestamp"":1738390870491,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390870493},{""phase"":2,""alertDuration"":384,""deviceTimestamp"":1738390871,""receivedAtTimestamp"":1738390871060,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390871062}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":1738390869,""serverTimestamp"":1738390869871}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,127.1,,,0.023,,,
9813.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 06:21:15 AM,02/01/2025 12:21:15 AM,02/01/2025 12:21:15 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":2,""alertDuration"":256,""deviceTimestamp"":1738390872,""receivedAtTimestamp"":1738390872881,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390872972},{""phase"":2,""alertDuration"":50304,""deviceTimestamp"":1738390872,""receivedAtTimestamp"":1738390871711,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390871713}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":1738390872,""serverTimestamp"":1738390871713}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,127.1,,,3.018,,,
9854.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 06:22:32 AM,02/01/2025 12:22:32 AM,02/01/2025 12:22:32 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":2,""alertDuration"":256,""deviceTimestamp"":46922,""receivedAtTimestamp"":1738390952424,""value"":127.2,""customerId"":""646703"",""serverTimestamp"":1738390952425}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":46922,""serverTimestamp"":1738390952425}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,127.2,,,0.015,,,
9860.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 06:22:35 AM,02/01/2025 12:22:35 AM,02/01/2025 12:22:35 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":2,""alertDuration"":256,""deviceTimestamp"":52125,""receivedAtTimestamp"":1738390954110,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390954204}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":52125,""serverTimestamp"":1738390954204}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,127.1,,,0.015,,,
9864.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 06:22:36 AM,02/01/2025 12:22:36 AM,02/01/2025 12:22:36 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":2,""alertDuration"":256,""deviceTimestamp"":45869,""receivedAtTimestamp"":1738390955932,""value"":127.2,""customerId"":""646703"",""serverTimestamp"":1738390955934}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":45869,""serverTimestamp"":1738390955934}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,127.2,,,0.015,,,
9868.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 06:22:38 AM,02/01/2025 12:22:38 AM,02/01/2025 12:22:38 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":2,""alertDuration"":256,""deviceTimestamp"":44717,""receivedAtTimestamp"":1738390957141,""value"":127.2,""customerId"":""646703"",""serverTimestamp"":1738390957143}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":44717,""serverTimestamp"":1738390957143}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,127.2,,,0.015,,,
9871.0,862754053334016.0,8.0,AlertVoltageSwell2,Voltage Swell: 120/240/277V,02/01/2025 06:22:41 AM,02/01/2025 12:22:41 AM,02/01/2025 12:22:41 AM,13.746678,-89.362623,1.0,T63263,Nivel de piso,0.0,835.0,,,"{""data"":[{""phase"":2,""alertDuration"":256,""deviceTimestamp"":58703,""receivedAtTimestamp"":1738390959932,""value"":127.1,""customerId"":""646703"",""serverTimestamp"":1738390959934}],""msgType"":288,""msgStr"":""AlertAggregatedVoltageSwell120/240/277V"",""deviceTimestamp"":58703,""serverTimestamp"":1738390959934}",Vswell,T63263,AES El Salvador,America/El_Salvador (UTC/GMT -6:00),3.0,,0.0,7.0,,,,,127.1,,,0.015,,,
